ConsumerRecord(topic='surprise_me', partition=0, offset=0, timestamp=1703786717630, timestamp_type=0, key=None, value=b'629', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
Odd number 629 added to numtest. The whole message is ConsumerRecord(topic='surprise_me', partition=0, offset=0, timestamp=1703786717630, timestamp_type=0, key=None, value=b'629', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=1, timestamp=1703786722631, timestamp_type=0, key=None, value=b'2123', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
Odd number 2123 added to numtest. The whole message is ConsumerRecord(topic='surprise_me', partition=0, offset=1, timestamp=1703786722631, timestamp_type=0, key=None, value=b'2123', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=2, timestamp=1703786727636, timestamp_type=0, key=None, value=b'2455', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
Odd number 2455 added to numtest. The whole message is ConsumerRecord(topic='surprise_me', partition=0, offset=2, timestamp=1703786727636, timestamp_type=0, key=None, value=b'2455', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=3, timestamp=1703786732641, timestamp_type=0, key=None, value=b'2326', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=4, timestamp=1703786737647, timestamp_type=0, key=None, value=b'1196', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=5, timestamp=1703786742649, timestamp_type=0, key=None, value=b'1232', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=6, timestamp=1703786747654, timestamp_type=0, key=None, value=b'773', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
Odd number 773 added to numtest. The whole message is ConsumerRecord(topic='surprise_me', partition=0, offset=6, timestamp=1703786747654, timestamp_type=0, key=None, value=b'773', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=7, timestamp=1703786752660, timestamp_type=0, key=None, value=b'1395', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
Odd number 1395 added to numtest. The whole message is ConsumerRecord(topic='surprise_me', partition=0, offset=7, timestamp=1703786752660, timestamp_type=0, key=None, value=b'1395', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=8, timestamp=1703786757666, timestamp_type=0, key=None, value=b'1733', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
Odd number 1733 added to numtest. The whole message is ConsumerRecord(topic='surprise_me', partition=0, offset=8, timestamp=1703786757666, timestamp_type=0, key=None, value=b'1733', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=9, timestamp=1703786762672, timestamp_type=0, key=None, value=b'2234', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=10, timestamp=1703786767674, timestamp_type=0, key=None, value=b'2293', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
Odd number 2293 added to numtest. The whole message is ConsumerRecord(topic='surprise_me', partition=0, offset=10, timestamp=1703786767674, timestamp_type=0, key=None, value=b'2293', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=11, timestamp=1703786772681, timestamp_type=0, key=None, value=b'988', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='surprise_me', partition=0, offset=12, timestamp=1703786777685, timestamp_type=0, key=None, value=b'147', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
